ID	DOCULECT	CONCEPT_IN_SOURCE	CONCEPT_FRENCH	IPA	VALUE	FORM	CONCEPTICON_ID	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGIDS
79	Tommo_So	domestic animal (esp. livestock)	animal domestique (surtout bétail)	bɛ̀lú	gìnɛ̀-ý bɛ̀lù	bɛ̀lú	619	ANIMAL	b ¹/ɛ l ⁵/u	1 7 5 7	AXBZ	PELY	33	33.P.C 33.E.V 33.L.C 33.Y.V	2.0 1.5 1.75 0.8	0	47
80	Dogul_Dom	domestic animal (esp. livestock)	animal domestique (surtout bétail)	bɛ́lɛ̀-gù	bɛ́lɛ̀g, bɛ́lɛ̀gù	bɛ́lɛ̀gù	619	ANIMAL	b ⁵/ɛ l ¹/ɛ + ɡ ¹/u	1 7 5 7 9 1 7	AXBZ_AX	PELE_KY	17	17.P.C 17.E.V 17.L.C 17.E.V 17._._ 17.K.C 17.Y.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	47 53
81	Yanda_Dom	domestic animal (esp. livestock)	animal domestique (surtout bétail)	àzɛ̀gɛ̀	àzɛ̀gɛ̀	àzɛ̀gɛ̀	619	ANIMAL	¹/a + z ¹/ɛ ɡ ¹/ɛ	7 3 7 9 1 7	XBZ_AX	ASE_KE	37	37.A.V 37.S.C 37.E.V 37._._ 37.K.C 37.E.V	1.5 1.75 0.8 0.0 2.0 1.5	0	56 51
82	Bondu_So	domestic animal (esp. livestock)	animal domestique (surtout bétail)	dúmɛ́-ŋgó	dúmɛ́-ŋgó	dúmɛ́-ŋgó	619	ANIMAL	d ⁵/u m ⁵/ɛ + ⁿɡ ⁵/o	1 7 4 7 9 1 7	AXBZ_AX	TYME_KU	6	6.T.C 6.Y.V 6.M.C 6.E.V 6._._ 6.K.C 6.U.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	52 53
83	Bunoge	domestic animal (esp. livestock)	animal domestique (surtout bétail)	kɔ́mbɔ̀	kɔ́mbɔ̀	kɔ́mbɔ̀	619	ANIMAL	k ⁵/∼/ɔ b ¹/ɔ	1 7 1 7	AXBZ	KUPU	16	16.K.C 16.U.V 16.P.C 16.U.V	2.0 1.5 1.75 0.8	0	55
84	Donno_So	domestic animal (esp. livestock)	animal domestique (surtout bétail)	bɛ̀lú	bɛ̀lú	bɛ̀lú	619	ANIMAL	b ¹/ɛ l ⁵/u	1 7 5 7	AXBZ	PELY	18	18.P.C 18.E.V 18.L.C 18.Y.V	2.0 1.5 1.75 0.8	0	47
85	Tiranige_Diga	domestic animal (esp. livestock)	animal domestique (surtout bétail)	bèl	bèl	bèl	619	ANIMAL	b ¹/e l	1 7 5	AXN	PEL	31	31.P.C 31.E.V 31.L.c	2.0 1.5 0.8	0	47
86	Mombo	domestic animal (esp. livestock)	animal domestique (surtout bétail)	dèbù_bɛ́lí	dèbù bɛ́lí, bɛ́lí	dèbù_bɛ́lí	619	ANIMAL	d ¹/e b ¹/u + b ⁵/ɛ l ⁵/i	1 7 1 7 9 1 7 5 7	AXBZ_AXBZ	TEPY_PELI	23	23.T.C 23.E.V 23.P.C 23.Y.V 23._._ 23.P.C 23.E.V 23.L.C 23.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	48 47
87	Jamsay	domestic animal (esp. livestock)	animal domestique (surtout bétail)	àsɛ̀gɛ́	àsɛ̀gɛ́	àsɛ̀gɛ́	619	ANIMAL	¹/a + s ¹/ɛ ɡ ⁵/ɛ	7 9 3 7 1 7	X_AXBZ	A_SEKE	21	21.A.V 21._._ 21.S.C 21.E.V 21.K.C 21.E.V	1.5 0.0 2.0 1.5 1.75 0.8	0	56 51
88	Tebul_Ure	domestic animal (esp. livestock)	animal domestique (surtout bétail)	àsɛ̀gɛ́	àsɛ̀gɛ́	àsɛ̀gɛ́	619	ANIMAL	¹/a + s ¹/ɛ ɡ ⁵/ɛ	7 9 3 7 1 7	X_AXBZ	A_SEKE	30	30.A.V 30._._ 30.S.C 30.E.V 30.K.C 30.E.V	1.5 0.0 2.0 1.5 1.75 0.8	0	56 51
89	Toro_So	domestic animal (esp. livestock)	animal domestique (surtout bétail)	gìnì bɛ́l	gìnì bɛ́l	gìnì bɛ́l	619	ANIMAL	ɡ ¹/i n ¹/i + b ⁵/ɛ l	1 7 4 7 9 1 7 5	AXBZ_AXN	KINI_PEL	35	35.K.C 35.I.V 35.N.C 35.I.V 35._._ 35.P.C 35.E.V 35.L.c	2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.8	0	60 47
90	Toro_So	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ásɛ̀ɡɛ̀	ásɛ̀ɡɛ̀	ásɛ̀ɡɛ̀	619	ANIMAL	⁵/a + s ¹/ɛ ɡ ¹/ɛ	7 3 7 1 7	XBYBZ	ASEKE	35	35.A.V 35.S.C 35.E.V 35.K.C 35.E.V	1.5 1.75 1.3 1.75 0.8	0	56 51
91	Bondu_So	domestic animal (esp. livestock)	animal domestique (surtout bétail)	dúmɛ́ɛ̀	dúmɛ́ɛ̀	dúmɛ́ɛ̀	619	ANIMAL	d ⁵/u m ⁵¹/ɛː	1 7 4 7	AXBZ	TYME	6	6.T.C 6.Y.V 6.M.C 6.E.V	2.0 1.5 1.75 0.8	0	52
92	Bangime	reply	répondre	jòò-rò	jòò-rò	jòò-rò	1275	ANSWER	j ¹/oː + r ¹/o	6 7 9 5 7	AX_AX	JU_RU	3	3.J.C 3.U.V 3._._ 3.R.C 3.U.V	2.0 1.5 0.0 2.0 1.5	0	63 64
93	Bambara		répondre (à un salut, un appel...)	lámìnɛ́	lámìnɛ́	lámìnɛ́	1275	ANSWER	l ⁵/a + m ¹/i n ⁵/ɛ	5 7 9 4 7 4 7	AX_AXBZ	LA_MINE	2	2.L.C 2.A.V 2._._ 2.M.C 2.I.V 2.N.C 2.E.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	61 62
94	Toro_Tegu	answer, reply to (sb)	répondre à (qn)	císú	císú	císú	1275	ANSWER	tʃ ⁵/i + s ⁵/u	1 7 3 7	AXBZ	TISY	36	36.T.C 36.I.V 36.S.C 36.Y.V	2.0 1.5 1.75 0.8	0	65
95	Ben_Tey	answer, reply to (sb)	répondre à (qn)	sá	sá, mǒ: sá	sá	1275	ANSWER	s ⁵/a	3 7	AX	SA	5	5.S.C 5.A.V	2.0 1.5	0	66
96	Bankan_Tey	answer, reply to (sb)	répondre à (qn)	kísɛ́	kísɛ́	kísɛ́	1275	ANSWER	k ⁵/i + s ⁵/ɛ	1 7 3 7	AXBZ	KISE	4	4.K.C 4.I.V 4.S.C 4.E.V	2.0 1.5 1.75 0.8	0	65 0
97	Nanga	answer, reply to (sb)	répondre à (qn)	sá:	sá:, nɔ̌: sá:	sá:	1275	ANSWER	s ⁵/aː	3 7	AX	SA	24	24.S.C 24.A.V	2.0 1.5	0	66
98	Perge_Tegu	answer, reply to (sb)	répondre à (qn)	sá:	sá:	sá:	1275	ANSWER	s ⁵/aː	3 7	AX	SA	26	26.S.C 26.A.V	2.0 1.5	0	66
99	Gourou	answer, reply to (sb)	répondre à (qn)	ká:_sá:	ká: sá:, sá:	ká:_sá:	1275	ANSWER	k ⁵/aː + s ⁵/aː	1 7 9 3 7	AX_AX	KA_SA	20	20.K.C 20.A.V 20._._ 20.S.C 20.A.V	2.0 1.5 0.0 2.0 1.5	0	67 66
100	Yorno_So	answer, reply to (sb)	répondre à (qn)	sá:	sá:-	sá:	1275	ANSWER	s ⁵/aː	3 7	AX	SA	38	38.S.C 38.A.V	2.0 1.5	0	66
101	Tommo_So	answer, reply to (sb)	répondre à (qn)	sáwá	sáwá, yàbí-lɛ́	sáwá	1275	ANSWER	s ⁵/a + w ⁵/a	3 7 6 7	AXBZ	SAWA	33	33.S.C 33.A.V 33.W.C 33.A.V	2.0 1.5 1.75 0.8	0	66 0
102	Dogul_Dom	answer, reply to (sb)	répondre à (qn)	kísɛ̀	kísɛ̀, kígìl-mè	kísɛ̀	1275	ANSWER	k ⁵/i + s ¹/ɛ	1 7 3 7	AXBZ	KISE	17	17.K.C 17.I.V 17.S.C 17.E.V	2.0 1.5 1.75 0.8	0	65 0
103	Tebul_Ure	answer, reply to (sb)	répondre à (qn)	sá:-m	sá:m (sá:m-tì-), sá (sá-tì-)	sá:m	1275	ANSWER	s ⁵/aː + m	3 7 9 4	AX_A	SA_M	30	30.S.C 30.A.V 30._._ 30.M.C	2.0 1.5 0.0 2.0	0	66 70
104	Yanda_Dom	answer, reply to (sb)	répondre à (qn)	m̀bò_sá:	m̀bò sá:, sá:	m̀bò_sá:	1275	ANSWER	ⁿb ¹/o + s ⁵/aː	1 7 9 3 7	AX_AX	PU_SA	37	37.P.C 37.U.V 37._._ 37.S.C 37.A.V	2.0 1.5 0.0 2.0 1.5	0	71 66
105	Bunoge	answer, reply to (sb)	répondre à (qn)	kíjɛ̀	kíjɛ̀	kíjɛ̀	1275	ANSWER	k ⁵/i + dʒ ¹/ɛ	1 7 1 7	AXBZ	KITE	16	16.K.C 16.I.V 16.T.C 16.E.V	2.0 1.5 1.75 0.8	0	65 0
106	Jamsay	answer, reply to (sb)	répondre à (qn)	sá:	sá:, ká: sá:	sá:	1275	ANSWER	s ⁵/aː	3 7	AX	SA	21	21.S.C 21.A.V	2.0 1.5	0	66
107	Tiranige_Diga	answer, reply to (sb)	répondre à (qn)	cígírɔ́	cígírɔ́	cígírɔ́	1275	ANSWER	tʃ ⁵/i ɡ ⁵/i + r ⁵/ɔ	1 7 1 7 9 5 7	AXBZ_AX	TIKI_RU	31	31.T.C 31.I.V 31.K.C 31.I.V 31._._ 31.R.C 31.U.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	65 64
108	Mombo	answer, reply to (sb)	répondre à (qn)	ábú-lè	ábúlè, kízɛ́	ábúlè	1275	ANSWER	⁵/a b ⁵/u l ¹/e	7 1 7 5 7	XBYBZ	APYLE	23	23.A.V 23.P.C 23.Y.V 23.L.C 23.E.V	1.5 1.75 1.3 1.75 0.8	0	68
109	Penange	answer, reply to (sb)	répondre à (qn)	kíjɛ́	kíjɛ́, jámbé	kíjɛ́	1275	ANSWER	k ⁵/i + dʒ ⁵/ɛ	1 7 1 7	AXBZ	KITE	25	25.K.C 25.I.V 25.T.C 25.E.V	2.0 1.5 1.75 0.8	0	65
110	Tomo_Kan	answer, reply to (sb)	répondre à (qn)	sáwá	sáwá	sáwá	1275	ANSWER	s ⁵/a + w ⁵/a	3 7 6 7	AXBZ	SAWA	34	34.S.C 34.A.V 34.W.C 34.A.V	2.0 1.5 1.75 0.8	0	66 0
111	Soninke		répondre à l’appel de	bǎyⁿ	ɲímí	ɲímí	1275	ANSWER	ɲ ⁵/i m ⁵/i	4 7 4 7	AXBZ	NIMI	29	29.N.C 29.I.V 29.M.C 29.I.V	2.0 1.5 1.75 0.8	0	69
112	Togo_Kan	answer, reply to (sb)	répondre à (qn)	sá:	sá:	sá:	1275	ANSWER	s ⁵/aː	3 7	AX	SA	32	32.S.C 32.A.V	2.0 1.5	0	66
113	Fulfulde	armpit	aisselle	nawki	nawki	nawki	1886	ARMPIT	n a w + k i	4 7 6 1 7	AXMBZ	NAWKI	19	19.N.C 19.A.V 19.W.c 19.K.C 19.I.V	2.0 1.5 1.1 1.75 0.8	0	79
114	Bozo_Hainyaxo		aisselle	kabaatiⁿmɔ	kabaatiⁿmɔ	kabaatiⁿmɔ	1886	ARMPIT	k a b aː t ĩ + m ɔ	1 7 1 7 1 7 9 4 7	AXBYBZ_AX	KAPATI_MU	8	8.K.C 8.A.V 8.P.C 8.A.V 8.T.C 8.I.V 8._._ 8.M.C 8.U.V	2.0 1.5 1.75 1.3 1.75 0.8 0.0 2.0 1.5	0	77 78
115	Bangime	armpit (where baby is picked up)	aisselle (où on prend un bébé)	kōmpàà	kōmpàà	kōmpàà	1886	ARMPIT	k ³/o ⁿp ¹/aː	1 7 1 7	AXBZ	KUPA	3	3.K.C 3.U.V 3.P.C 3.A.V	2.0 1.5 1.75 0.8	0	77
116	Jenaama	armpit (where baby is picked up)	aisselle (où on prend un bébé)	kɛ̄lɛ̄-mù	kɛ̄lɛ̄mù	kɛ̄lɛ̄mù	1886	ARMPIT	k ³/ɛ l ³/ɛ + m ¹/u	1 7 5 7 9 4 7	AXBZ_AX	KELE_MY	22	22.K.C 22.E.V 22.L.C 22.E.V 22._._ 22.M.C 22.Y.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	74 78
117	Tebul_Ure	armpit (where baby is picked up)	aisselle (où on prend un bébé)	kà-kàrá	kà-kàrá	kà-kàrá	1886	ARMPIT	k ¹/a + k ¹/a r ⁵/a	1 7 9 1 7 5 7	AX_AXBZ	KA_KARA	30	30.K.C 30.A.V 30._._ 30.K.C 30.A.V 30.R.C 30.A.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	73 73
118	Toro_Tegu	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ìr_kílá	ìrkílá	ìr-kílá	1886	ARMPIT	¹/i r + k ⁵/i l ⁵/a	7 5 9 1 7 5 7	XN_AXBZ	IR_KILA	36	36.I.V 36.R.c 36._._ 36.K.C 36.I.V 36.L.C 36.A.V	1.5 0.8 0.0 2.0 1.5 1.75 0.8	0	84 72
119	Ben_Tey	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	àr_kɛ́lɛ̀	àrkɛ́lɛ̀	àr-kɛ́lɛ̀	1886	ARMPIT	¹/a r + k ⁵/ɛ l ¹/ɛ	7 5 9 1 7 5 7	XN_AXBZ	AR_KELE	5	5.A.V 5.R.c 5._._ 5.K.C 5.E.V 5.L.C 5.E.V	1.5 0.8 0.0 2.0 1.5 1.75 0.8	0	73 74
120	Bankan_Tey	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ár_kɛ́ndɛ̀	árkɛ́ndɛ̀	ár-kɛ́ndɛ̀	1886	ARMPIT	⁵/a r + k ⁵/ɛ ⁿd ¹/ɛ	7 5 9 1 7 1 7	XN_AXBZ	AR_KETE	4	4.A.V 4.R.c 4._._ 4.K.C 4.E.V 4.T.C 4.E.V	1.5 0.8 0.0 2.0 1.5 1.75 0.8	0	73 74
121	Nanga	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ɛ̀rɛ̀-kɛ̀ndɛ̂, ɛ̀rɛ̀-gɛ̀ndɛ̂	ɛ̀rɛ̀-kɛ̀ndɛ̂, ɛ̀rɛ̀-gɛ̀ndɛ̂	ɛ̀rɛ̀-kɛ̀ndɛ̂	1886	ARMPIT	¹/ɛ r ¹/ɛ + k ¹/ɛ ⁿd ¹⁵/ɛ	7 5 7 9 1 7 1 7	XBZ_AXBZ	ERE_KETE	24	24.E.V 24.R.C 24.E.V 24._._ 24.K.C 24.E.V 24.T.C 24.E.V	1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	0 74
122	Perge_Tegu	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	kà-kàrá	kà-kàrá	kà-kàrá	1886	ARMPIT	k ¹/a + k ¹/a r ⁵/a	1 7 9 1 7 5 7	AX_AXBZ	KA_KARA	26	26.K.C 26.A.V 26._._ 26.K.C 26.A.V 26.R.C 26.A.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	73 73
123	Gourou	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	kì-kàrá	kìkàrá	kì-kàrá	1886	ARMPIT	k ¹/i + k ¹/a r ⁵/a	1 7 9 1 7 5 7	AX_AXBZ	KI_KARA	20	20.K.C 20.I.V 20._._ 20.K.C 20.A.V 20.R.C 20.A.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	72 73
124	Togo_Kan	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	kà-kàrá	kàkàrá	kà-kàrá	1886	ARMPIT	k ¹/a + k ¹/a r ⁵/a	1 7 9 1 7 5 7	AX_AXBZ	KA_KARA	32	32.K.C 32.A.V 32._._ 32.K.C 32.A.V 32.R.C 32.A.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	73 73
125	Yorno_So	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	kí-kárú	kí-kárú	kí-kárú	1886	ARMPIT	k ⁵/i + k ⁵/a r ⁵/u	1 7 9 1 7 5 7	AX_AXBZ	KI_KARY	38	38.K.C 38.I.V 38._._ 38.K.C 38.A.V 38.R.C 38.Y.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	72 73
126	Tommo_So	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ká-kárú	ká-kárú	ká-kárú	1886	ARMPIT	k ⁵/a + k ⁵/a r ⁵/u	1 7 9 1 7 5 7	AX_AXBZ	KA_KARY	33	33.K.C 33.A.V 33._._ 33.K.C 33.A.V 33.R.C 33.Y.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	73 73
127	Dogul_Dom	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	kárà-kàrà	kárà-kàrà	kárà-kàrà	1886	ARMPIT	k ⁵/a r ¹/a + k ¹/a r ¹/a	1 7 5 7 9 1 7 5 7	AXBZ_AXBZ	KARA_KARA	17	17.K.C 17.A.V 17.R.C 17.A.V 17._._ 17.K.C 17.A.V 17.R.C 17.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	73 73
128	Yanda_Dom	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	kà-gádà	kàgádà ~ kà-kádà	kà-gádà	1886	ARMPIT	k ¹/a + ɡ ⁵/a d ¹/a	1 7 9 1 7 1 7	AX_AXBZ	KA_KATA	37	37.K.C 37.A.V 37._._ 37.K.C 37.A.V 37.T.C 37.A.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	73 73
129	Bondu_So	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	kàkàrâ: kùl	kàkàrâ: kùl	kàkàrâ:-kùl	1886	ARMPIT	k ¹/a + k ¹/a r ⁵¹/aː + k ¹/u l	1 7 9 1 7 5 7 9 1 7 5	AX_AXBZ_AXN	KA_KARA_KYL	6	6.K.C 6.A.V 6._._ 6.K.C 6.A.V 6.R.C 6.A.V 6._._ 6.K.C 6.Y.V 6.L.c	2.0 1.5 0.0 2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.8	0	73 73 76
130	Donno_So	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	kárù-kàrù	nùmɔ̀-[kárù-kàrù]	kárù-kàrù	1886	ARMPIT	k ⁵/a r ¹/u + k ¹/a r ¹/u	1 7 5 7 9 1 7 5 7	AXBZ_AXBZ	KARY_KARY	18	18.K.C 18.A.V 18.R.C 18.Y.V 18._._ 18.K.C 18.A.V 18.R.C 18.Y.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	73 73
131	Jamsay	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	kì-kàrá	kì-kàrá	kì-kàrá	1886	ARMPIT	k ¹/i + k ¹/a r ⁵/a	1 7 9 1 7 5 7	AX_AXBZ	KI_KARA	21	21.K.C 21.I.V 21._._ 21.K.C 21.A.V 21.R.C 21.A.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	72 73
132	Tomo_Kan	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	kì-kàrà	kì-kàrà	kì-kàrà	1886	ARMPIT	k ¹/i + k ¹/a r ¹/a	1 7 9 1 7 5 7	AX_AXBZ	KI_KARA	34	34.K.C 34.I.V 34._._ 34.K.C 34.A.V 34.R.C 34.A.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	72 73
133	Tiranige_Diga	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	kàrà-kàrà	kàrà-kàrà	kàrà-kàrà	1886	ARMPIT	k ¹/a r ¹/a + k ¹/a r ¹/a	1 7 5 7 9 1 7 5 7	AXBZ_AXBZ	KARA_KARA	31	31.K.C 31.A.V 31.R.C 31.A.V 31._._ 31.K.C 31.A.V 31.R.C 31.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	73 73
134	Mombo	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	kárá-kárá súgù, kárákárá	kárá-kárá súgù, kárákárá	kárá-kárá_súgù	1886	ARMPIT	k ⁵/a r ⁵/a + k ⁵/a r ⁵/a + s ⁵/u ɡ ¹/u	1 7 5 7 9 1 7 5 7 9 3 7 1 7	AXBZ_AXBZ_AXBZ	KARA_KARA_SYKY	23	23.K.C 23.A.V 23.R.C 23.A.V 23._._ 23.K.C 23.A.V 23.R.C 23.A.V 23._._ 23.S.C 23.Y.V 23.K.C 23.Y.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	73 73 80
135	Penange	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	kàrà-kàrà, kàrà-kàrà súgù	kàrà-kàrà, kàrà-kàrà súgù	kàrà-kàrà	1886	ARMPIT	k ¹/a r ¹/a + k ¹/a r ¹/a	1 7 5 7 9 1 7 5 7	AXBZ_AXBZ	KARA_KARA	25	25.K.C 25.A.V 25.R.C 25.A.V 25._._ 25.K.C 25.A.V 25.R.C 25.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	73 73
136	Songhai_Kiini	[n] armpit; wing	aisselle; aile	fát-ò	fát-ò	fát-ò	1886	ARMPIT	f ⁵/a t + ¹/o	3 7 1 9 7	AXN_X	BAT_U	27	27.B.C 27.A.V 27.T.c 27._._ 27.U.V	2.0 1.5 0.8 0.0 1.5	0	81 82
137	Songhai_Senni	[n] armpit; wing	aisselle; aile	fàt-ò	fàt-ò	fàt-ò	1886	ARMPIT	f ¹/a t + ¹/o	3 7 1 9 7	AXN_X	BAT_U	28	28.B.C 28.A.V 28.T.c 28._._ 28.U.V	2.0 1.5 0.8 0.0 1.5	0	81 82
138	Toro_So	[n] armpit; wing	aisselle; aile	ká kárú	ká kárú	ká kárú	1886	ARMPIT	k ⁵/a + k ⁵/a r ⁵/u	1 7 9 1 7 5 7	AX_AXBZ	KA_KARY	35	35.K.C 35.A.V 35._._ 35.K.C 35.A.V 35.R.C 35.Y.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	73 73
139	Bondu_So	[n] armpit; wing	aisselle; aile	kárá kàrá	kárá kàrá	kárá kàrá	1886	ARMPIT	k ⁵/a r ⁵/a + k ¹/a r ⁵/a	1 7 5 7 9 1 7 5 7	AXBZ_AXBZ	KARA_KARA	6	6.K.C 6.A.V 6.R.C 6.A.V 6._._ 6.K.C 6.A.V 6.R.C 6.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	73 73
140	Bambara	armpit	aisselle	nàná	nàná	nàná	1886	ARMPIT	n ⁵/a n ¹/a								
141	Bangime	arrive	arriver	twàà-rà	twàà-rà	twàà-rà	1387	ARRIVE	t w ¹/aː + r ¹/a	1 6 7 9 5 7	ACX_AX	TWA_RA	3	3.T.C 3.W.C 3.A.V 3._._ 3.R.C 3.A.V	2.0 1.5 1.5 0.0 2.0 1.5	0	85 86
142	Fulfulde	arrive	arriver	yottaade	yott-aade	yott-aade	1387	ARRIVE	j o t t + aː d e	6 7 1 1 9 7 1 7	AXLN_XBZ	JUTT_ATE	19	19.J.C 19.U.V 19.T.c 19.T.c 19._._ 19.A.V 19.T.C 19.E.V	2.0 1.5 1.1 0.8 0.0 1.5 1.75 0.8	0	91 92
143	Jenaama	arrive	arriver	kìyɛ̀wⁿ	kìyɛ̀wⁿ	kìyɛ̀wⁿ	1387	ARRIVE	k ¹/i j ¹/ɛ + ∼/w̃	1 7 6 7 9 6	AXBZ_A	KIJE_W	22	22.K.C 22.I.V 22.J.C 22.E.V 22._._ 22.W.C	2.0 1.5 1.75 0.8 0.0 2.0	0	93 94
144	Bozo_Debo		arriver	be	be	be	1387	ARRIVE	b e	1 7	AX	PE	7	7.P.C 7.E.V	2.0 1.5	0	89
145	Bozo_Korondougou_nord		arriver	be	be	be	1387	ARRIVE	b e	1 7	AX	PE	9	9.P.C 9.E.V	2.0 1.5	0	89
146	Bozo_Korondougou_sud		arriver	be	be	be	1387	ARRIVE	b e	1 7	AX	PE	10	10.P.C 10.E.V	2.0 1.5	0	89
147	Songhai_Senni	a) [intr] arrive	arriver [Caus tó:-y-éyndí 2, VO also tó:-ndù ] ­ex: kòyrà gá bò [.tó:] the next village coming up (on a trip)	tó:	tó:	tó:	1387	ARRIVE	t ⁵/oː	1 7	AX	TU	28	28.T.C 28.U.V	2.0 1.5	0	87
148	Toro_Tegu	arrive at, reach	arriver à, atteindre	dɔ́	dɔ́	dɔ́	1387	ARRIVE	d ⁵/ɔ	1 7	AX	TU	36	36.T.C 36.U.V	2.0 1.5	0	87
149	Ben_Tey	arrive at, reach	arriver à, atteindre	dɔ̌	dɔ̌	dɔ̌	1387	ARRIVE	d ¹⁵/ɔ	1 7	AX	TU	5	5.T.C 5.U.V	2.0 1.5	0	87
150	Nanga	arrive at, reach	arriver à, atteindre	dɔ̌:	dɔ̌:	dɔ̌:	1387	ARRIVE	d ¹⁵/ɔː	1 7	AX	TU	24	24.T.C 24.U.V	2.0 1.5	0	87
151	Gourou	arrive at, reach	arriver à, atteindre	dɔ́:	dɔ́:	dɔ́:	1387	ARRIVE	d ⁵/ɔː	1 7	AX	TU	20	20.T.C 20.U.V	2.0 1.5	0	87
152	Yorno_So	arrive at, reach	arriver à, atteindre	dɔ̌:	dɔ̌:	dɔ̌:	1387	ARRIVE	d ¹⁵/ɔː	1 7	AX	TU	38	38.T.C 38.U.V	2.0 1.5	0	87
153	Tommo_So	arrive at, reach	arriver à, atteindre	dɔ̀ɔ́	dɔ̀ɔ́	dɔ̀ɔ́	1387	ARRIVE	d ¹⁵/ɔː	1 7	AX	TU	33	33.T.C 33.U.V	2.0 1.5	0	87
154	Dogul_Dom	arrive at, reach	arriver à, atteindre	dèé	dèé	dèé	1387	ARRIVE	d ¹⁵/eː	1 7	AX	TE	17	17.T.C 17.E.V	2.0 1.5	0	87
155	Tebul_Ure	arrive at, reach	arriver à, atteindre	dɔ̌	dɔ̌ (dɔ̯-â:- ~ dɔ̌y-yà-, perf neg dɔ̯à-lí-)	dɔ̌	1387	ARRIVE	d ¹⁵/ɔ	1 7	AX	TU	30	30.T.C 30.U.V	2.0 1.5	0	87
156	Bondu_So	arrive at, reach	arriver à, atteindre	dw-ɛ̂:	dwɛ̂:	dw-ɛ̂:	1387	ARRIVE	d w + ⁵¹/ɛː	1 6 9 7	AC_X	TW_E	6	6.T.C 6.W.C 6._._ 6.E.V	2.0 1.5 0.0 1.5	0	85 95
157	Bunoge	arrive at, reach	arriver à, atteindre	dínnɛ̀	dínnɛ̀	dínnɛ̀	1387	ARRIVE	d ⁵/i n + n ¹/ɛ	1 7 4 4 7	AXMBZ	TINNE	16	16.T.C 16.I.V 16.N.c 16.N.C 16.E.V	2.0 1.5 1.1 1.75 0.8	0	90 95
158	Tiranige_Diga	arrive at, reach	arriver à, atteindre	áyó	áyó	áyó	1387	ARRIVE	⁵/a j ⁵/o	7 6 7	XBZ	AJU	31	31.A.V 31.J.C 31.U.V	1.5 1.75 0.8	0	97
